Experiment,Model,Reward,Efficiency (%),Regime,Capacity,Runs
2,GNEURALUCB,3813.29,92.1,T,S1.5,3-run 
3,GNEURALUCB,5029.47,91.1,T,S1.5,3-run 
1,GNEURALUCB,2373.58,86.5,T,S1.5,3-run 
2,GNEURALUCB,3755.81,90.9,T,S1.5,3-run 
3,GNEURALUCB,5198.95,93.9,T,S1.5,3-run 
1,GNEURALUCB,2687.95,96.4,T,S1.5,3-run 
2,GNEURALUCB,4067.29,97.3,T,S1.5,3-run 
3,GNEURALUCB,5404.92,97.0,T,S1.5,3-run 
1,GNEURALUCB,2455.74,88.9,Tb,S1,3-run 
2,GNEURALUCB,3810.15,92.0,Tb,S1,3-run 
3,GNEURALUCB,3528.78,63.9,Tb,S1,3-run 
1,GNEURALUCB,2392.19,86.9,Tb,S1,3-run 
2,GNEURALUCB,3688.42,89.2,Tb,S1,3-run 
3,GNEURALUCB,4442.62,80.6,Tb,S1,3-run 
1,GNEURALUCB,2529.23,91.4,Tb,S1,3-run 
2,GNEURALUCB,3748.18,90.6,Tb,S1,3-run 
3,GNEURALUCB,4430.65,80.3,Tb,S1,3-run 
1,GNEURALUCB,2628.54,94.6,Tb,S1,3-run 
2,GNEURALUCB,3756.29,90.8,Tb,S1,3-run 
3,GNEURALUCB,4304.24,77.9,Tb,S1,3-run 
1,GNEURALUCB,2631.38,94.4,Tb,S1,3-run 
2,GNEURALUCB,4044.76,96.8,Tb,S1,3-run 
3,GNEURALUCB,4675.43,83.9,Tb,S1,3-run 
1,GNEURALUCB,2455.74,88.9,Tb,S1,5-run 
2,GNEURALUCB,3810.15,92.0,Tb,S1,5-run 
3,GNEURALUCB,3528.78,63.9,Tb,S1,5-run 
4,GNEURALUCB,6366.36,92.3,Tb,S1,5-run 
5,GNEURALUCB,7712.19,93.1,Tb,S1,5-run 
1,GNEURALUCB,2392.19,86.9,Tb,S1,5-run 
2,GNEURALUCB,3688.42,89.2,Tb,S1,5-run 
3,GNEURALUCB,4442.62,80.6,Tb,S1,5-run 
4,GNEURALUCB,6306.67,91.5,Tb,S1,5-run 
5,GNEURALUCB,7544.09,91.2,Tb,S1,5-run 
1,GNEURALUCB,2529.23,91.4,Tb,S1,5-run 
2,GNEURALUCB,3748.18,90.6,Tb,S1,5-run 
3,GNEURALUCB,4430.65,80.3,Tb,S1,5-run 
4,GNEURALUCB,6398.59,92.7,Tb,S1,5-run 
5,GNEURALUCB,7732.23,93.2,Tb,S1,5-run 
1,GNEURALUCB,2628.54,94.6,Tb,S1,5-run 
2,GNEURALUCB,3756.29,90.8,Tb,S1,5-run 
3,GNEURALUCB,4304.24,77.9,Tb,S1,5-run 
4,GNEURALUCB,6806.77,97.8,Tb,S1,5-run 
5,GNEURALUCB,7065.6,86.8,Tb,S1,5-run 
1,GNEURALUCB,2631.38,94.4,Tb,S1,5-run 
2,GNEURALUCB,4044.76,96.8,Tb,S1,5-run 
3,GNEURALUCB,4675.43,83.9,Tb,S1,5-run 
4,GNEURALUCB,6822.6,97.9,Tb,S1,5-run 
5,GNEURALUCB,8200.47,98.1,Tb,S1,5-run 
1,GNEURALUCB,2502.78,90.6,Tb,S1.5,3-run 
2,GNEURALUCB,3810.08,91.9,Tb,S1.5,3-run 
3,GNEURALUCB,5053.74,91.5,Tb,S1.5,3-run 
1,GNEURALUCB,2291.32,83.1,Tb,S1.5,3-run 
2,GNEURALUCB,3752.98,90.8,Tb,S1.5,3-run 
3,GNEURALUCB,5007.12,90.8,Tb,S1.5,3-run 
1,GNEURALUCB,2538.67,91.9,Tb,S1.5,3-run 
2,GNEURALUCB,3813.29,92.1,Tb,S1.5,3-run 
3,GNEURALUCB,5029.47,91.1,Tb,S1.5,3-run 
1,GNEURALUCB,2373.58,86.5,Tb,S1.5,3-run 
2,GNEURALUCB,3755.81,90.9,Tb,S1.5,3-run 
3,GNEURALUCB,5198.95,93.9,Tb,S1.5,3-run 
1,GNEURALUCB,2687.95,96.4,Tb,S1.5,3-run 
2,GNEURALUCB,4067.29,97.3,Tb,S1.5,3-run 
3,GNEURALUCB,5404.92,97.0,Tb,S1.5,3-run 
1,GNEURALUCB,2173.86,78.7,Tb,S1.5,5-run 
2,GNEURALUCB,3801.67,91.7,Tb,S1.5,5-run 
3,GNEURALUCB,4331.32,78.4,Tb,S1.5,5-run 
4,GNEURALUCB,5533.93,80.2,Tb,S1.5,5-run 
5,GNEURALUCB,7568.98,91.3,Tb,S1.5,5-run 
1,GNEURALUCB,2461.35,89.3,Tb,S1.5,5-run 
2,GNEURALUCB,3729.3,90.2,Tb,S1.5,5-run 
3,GNEURALUCB,4737.79,85.9,Tb,S1.5,5-run 
4,GNEURALUCB,6202.78,90.1,Tb,S1.5,5-run 
5,GNEURALUCB,7506.41,90.8,Tb,S1.5,5-run 
1,GNEURALUCB,2512.34,91.0,Tb,S1.5,5-run 
2,GNEURALUCB,3893.79,93.8,Tb,S1.5,5-run 
3,GNEURALUCB,4458.11,80.7,Tb,S1.5,5-run 
4,GNEURALUCB,6386.94,92.5,Tb,S1.5,5-run 
5,GNEURALUCB,7723.86,93.2,Tb,S1.5,5-run 
1,GNEURALUCB,2647.31,95.3,Tb,S1.5,5-run 
2,GNEURALUCB,3602.74,87.8,Tb,S1.5,5-run 
3,GNEURALUCB,5408.25,97.0,Tb,S1.5,5-run 
4,GNEURALUCB,6211.59,90.7,Tb,S1.5,5-run 
5,GNEURALUCB,8166.36,97.9,Tb,S1.5,5-run 
1,GNEURALUCB,2709.54,97.2,Tb,S1.5,5-run 
2,GNEURALUCB,4020.19,96.2,Tb,S1.5,5-run 
3,GNEURALUCB,5384.49,96.6,Tb,S1.5,5-run 
4,GNEURALUCB,6840.07,98.2,Tb,S1.5,5-run 
5,GNEURALUCB,8240.4,98.6,Tb,S1.5,5-run 
1,GNEURALUCB,2494.06,90.3,Tb,S2,3-run 
2,GNEURALUCB,3771.13,91.1,Tb,S2,3-run 
3,GNEURALUCB,5044.41,91.3,Tb,S2,3-run 
1,GNEURALUCB,2475.84,89.8,Tb,S2,3-run 
2,GNEURALUCB,3731.97,90.2,Tb,S2,3-run 
3,GNEURALUCB,5019.36,91.0,Tb,S2,3-run 
1,GNEURALUCB,2515.6,91.2,Tb,S2,3-run 
2,GNEURALUCB,3891.77,93.7,Tb,S2,3-run 
3,GNEURALUCB,5107.24,92.6,Tb,S2,3-run 
1,GNEURALUCB,2287.72,84.8,Tb,S2,3-run 
2,GNEURALUCB,4074.49,97.5,Tb,S2,3-run 
3,GNEURALUCB,5298.99,95.6,Tb,S2,3-run 
1,GNEURALUCB,2685.34,96.4,Tb,S2,3-run 
2,GNEURALUCB,4063.59,97.2,Tb,S2,3-run 
3,GNEURALUCB,5405.85,97.0,Tb,S2,3-run 
1,GNEURALUCB,2497.06,90.4,Tb,S2,5-run 
2,GNEURALUCB,3760.84,90.8,Tb,S2,5-run 
3,GNEURALUCB,4252.14,77.0,Tb,S2,5-run 
4,GNEURALUCB,6429.51,93.1,Tb,S2,5-run 
5,GNEURALUCB,7662.25,92.5,Tb,S2,5-run 
1,GNEURALUCB,2475.84,89.8,Tb,S2,5-run 
2,GNEURALUCB,3731.97,90.2,Tb,S2,5-run 
3,GNEURALUCB,5019.36,91.0,Tb,S2,5-run 
4,GNEURALUCB,6268.13,90.9,Tb,S2,5-run 
5,GNEURALUCB,7572.3,91.5,Tb,S2,5-run 
1,GNEURALUCB,2515.6,91.2,Tb,S2,5-run 
2,GNEURALUCB,3891.77,93.7,Tb,S2,5-run 
3,GNEURALUCB,5107.24,92.6,Tb,S2,5-run 
4,GNEURALUCB,6329.27,91.8,Tb,S2,5-run 
5,GNEURALUCB,7631.18,92.2,Tb,S2,5-run 
1,GNEURALUCB,2287.72,84.8,Tb,S2,5-run 
2,GNEURALUCB,4074.49,97.5,Tb,S2,5-run 
