paper,config_key,source_file,total_time,qubit_caps,env_type,runs,allocator,scenario,scenario_cat,base_frames,frame_step,cap_type,scale,capacity,experiment,winner,frames,model,reward,regret,avg_reward,model_avg_eff,eff_pct,gap_pct,retries,failures,misses_thrs,scenario_winner,scen_winner_eff,scen_winner_reward,scen_winner_gap,paper_id,num_nodes,num_edges,num_paths,phys_p_init,phys_f_attenuation,phys_p_BSM,phys_p_GateErrors,phys_p_depol,phys_fusion_prob,phys_entanglement_prob,phys_noise_topology,phys_fid_noise_model,phys_fid_memory_model,phys_fid_gate_error_rate,keyattr_actk_type,keyattr_allocator,keyattr_attack,keyattr_entanglement_success_factor,keyattr_env_type,keyattr_external_contexts,keyattr_external_rewards,keyattr_external_topology,keyattr_fidelity_calculator,keyattr_frame_length,keyattr_noise_model,keyattr_qubit_capacities,keyattr_noise_model_data,keyattr_fidelity_calculator_data
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,5,iCPursuitNeuralUCB,12000,CPURSUITNEURALUCB,4268.820481852101,622.4181121323312,0.3557350401543417,84.63774104018285,85.65481128796362,14.345188712036377,0,0,0,iCPursuitNeuralUCB,84.65720065806408,2764.322221734031,15.34279934193592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,STOCHASTIC,Stochastic (Natural Random Failures),4000,2000,T,1.0,12000.0,5,iCPursuitNeuralUCB,12000,ICPURSUITNEURALUCB,4302.161406055633,597.3323269695117,0.358513450504636,84.65720065806408,86.32380418259592,13.67619581740408,0,0,0,iCPursuitNeuralUCB,84.65720065806408,2764.322221734031,15.34279934193592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1.0,12000.0,1,iCPursuitNeuralUCB,4000,ORACLE,1544.859742074138,0.0,0.3862149355185345,,,,0,0,0,iCPursuitNeuralUCB,56.92009468775204,1705.4923783675108,43.07990531224796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1.0,12000.0,1,iCPursuitNeuralUCB,4000,GNEURALUCB,748.3405469135728,373.1854506930184,0.1870851367283932,50.57937725569843,48.44067888705846,51.55932111294154,0,0,3,iCPursuitNeuralUCB,56.92009468775204,1705.4923783675108,43.07990531224796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1.0,12000.0,1,iCPursuitNeuralUCB,4000,EXPNEURALUCB,688.1057255937264,475.94945777641016,0.1720264313984316,45.95315677098018,44.54163098779903,55.45836901220097,0,0,3,iCPursuitNeuralUCB,56.92009468775204,1705.4923783675108,43.07990531224796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1.0,12000.0,1,iCPursuitNeuralUCB,4000,CPURSUITNEURALUCB,748.5366069580165,395.2476089989363,0.1871341517395041,50.04123908543316,48.453370009695945,51.546629990304055,0,0,3,iCPursuitNeuralUCB,56.92009468775204,1705.4923783675108,43.07990531224796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1.0,12000.0,1,iCPursuitNeuralUCB,4000,ICPURSUITNEURALUCB,863.5365494889304,314.50499790364364,0.2158841373722326,56.92009468775204,55.8974077691701,44.1025922308299,0,0,3,iCPursuitNeuralUCB,56.92009468775204,1705.4923783675108,43.07990531224796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1.0,12000.0,2,iCPursuitNeuralUCB,6000,ORACLE,2255.144208287488,0.0,0.3758573680479146,,,,0,0,0,iCPursuitNeuralUCB,56.92009468775204,1705.4923783675108,43.07990531224796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1.0,12000.0,2,iCPursuitNeuralUCB,6000,GNEURALUCB,1145.5272488408257,452.1378899560228,0.1909212081401376,50.57937725569843,50.79618609892431,49.20381390107569,0,0,3,iCPursuitNeuralUCB,56.92009468775204,1705.4923783675108,43.07990531224796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1.0,12000.0,2,iCPursuitNeuralUCB,6000,EXPNEURALUCB,1030.0515736378811,519.68898682439,0.1716752622729802,45.95315677098018,45.675641045593366,54.32435895440664,0,0,3,iCPursuitNeuralUCB,56.92009468775204,1705.4923783675108,43.07990531224796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1.0,12000.0,2,iCPursuitNeuralUCB,6000,CPURSUITNEURALUCB,1127.494657476961,451.8935003295495,0.1879157762461601,50.04123908543316,49.99656577763417,50.00343422236583,0,0,3,iCPursuitNeuralUCB,56.92009468775204,1705.4923783675108,43.07990531224796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1.0,12000.0,2,iCPursuitNeuralUCB,6000,ICPURSUITNEURALUCB,1258.7238421646366,388.7839717810336,0.2097873070274394,56.92009468775204,55.81566968262693,44.18433031737307,0,0,3,iCPursuitNeuralUCB,56.92009468775204,1705.4923783675108,43.07990531224796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1.0,12000.0,3,iCPursuitNeuralUCB,8000,ORACLE,2876.037569487673,0.0,0.3595046961859591,,,,0,0,0,iCPursuitNeuralUCB,56.92009468775204,1705.4923783675108,43.07990531224796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1.0,12000.0,3,iCPursuitNeuralUCB,8000,GNEURALUCB,1411.9377089556524,635.012200990044,0.1764922136194565,50.57937725569843,49.09315941958192,50.90684058041808,0,0,3,iCPursuitNeuralUCB,56.92009468775204,1705.4923783675108,43.07990531224796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper2,4000_2000,MultiRunEvaluator_4000-Default_All_All-4000_2000_5_S1T_paper2.pkl,0.0693230628967285,"(5, 5, 5, 4, 4, 4, 4, 4)",stochastic,5,Default,MARKOV,Structured (Markov Chain Based),4000,2000,T,1.0,12000.0,3,iCPursuitNeuralUCB,8000,EXPNEURALUCB,1412.6155071475987,831.4531190178237,0.1765769383934498,45.95315677098018,49.11672650365402,50.88327349634598,0,0,3,iCPursuitNeuralUCB,56.92009468775204,1705.4923783675108,43.07990531224796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
